,H3K14ac,phH3_S10,H3K4me3,Total H3,Caspase3,PAX6,H3K27ac,H3K9ac,FxCycle
fsom05,0.38,0.03,5.13,1.52,-0.55,2.62,3.97,4.81,4.52
fsom08,0.46,0.22,4.83,1.56,-0.04,2.56,3.44,4.41,3.61
fsom06,0.63,0.39,5.17,1.94,-0.17,3.15,4.12,5.02,4.04
fsom13,0.47,0.18,4.96,1.71,1.44,2.59,3.7,4.55,4.07
fsom12,0.48,0.24,4.85,1.49,2.72,1.65,3.11,4.28,3.76
fsom11,0.13,0.18,3.89,0.57,4.76,0.76,2.07,2.07,3.64
fsom14,1.46,5.41,5.48,1.93,-0.43,3.34,4.15,4.74,4.59
fsom03,0.36,0.07,5.09,1.5,-0.44,1.1,3.59,4.48,4.37
fsom10,0.76,1.11,5.48,2.49,-0.64,3.72,4.62,5.22,4.32
fsom07,0.49,0.26,4.9,1.64,-0.01,1.68,3.33,4.33,3.67
fsom01,1.66,5.41,5.55,1.99,-0.58,-1.57,4.05,4.71,4.62
fsom09,0.15,0.24,1.71,0.15,0.46,0.78,1.48,0.88,0.6
fsom04,0.33,0.07,5,1.45,-0.44,1.91,3.54,4.46,4.36
fsom02,0.45,0.22,4.87,1.57,-0.02,1,3.22,4.25,3.62
